user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
서울시에서 청년 부동산 중개보수 및 이사비 지원사업은 뭐에요?,"[""- 1 - 서울특별시 공고 제2026-1109 호\n청년 부동산 중개보수 및 이사비 지원사업 참여자 모집 공고\n   서울시는 「서울특별시 청년 기본 조례」 제13조에 의거 청년가구의  주거비 \n부담을 덜어주기 위해 「2026년 청년 부동산 중개보수 및 이사비 지원사업」에 \n함께할 청년을 다음과 같이 모집하오니 많은 관심과 참여 바랍니다 .\n2026. 4. 1.\n서 울 특 별 시 장\n1. 사업개요\n□ 사 업 명 : 2026년 청년 부동산 중개보수 및 이사비 지원사업\n□ 지원대상 : '24.1.1. 이후 서울시로 전입 또는 서울시 내에서 \n               이사 후 전입신고 완료한 만 19세~39세 청년가구\n□ 지원규모 : 총 8,000명 ※ 상반기 4,000명, 하반기 4,000명(8월 예정)\n□ 지원금액 : 최대 40만원 한도 내 실비 지원 ※ 생애 1회""]","서울시는 청년가구의 주거비 부담을 덜어주기 위해 2026년 청년 부동산 중개보수 및 이사비 지원사업을 모집하고 있습니다. 지원대상은 '24.1.1. 이후 서울시로 전입하거나 서울시 내에서 이사 후 전입신고를 완료한 만 19세에서 39세의 청년가구입니다. 총 8,000명이 지원받을 수 있으며, 최대 40만원 한도 내에서 실비 지원이 이루어집니다.",Youth Housing Support Coordinator,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"What are the eligibility criteria for young residents in Seoul applying for housing support by the deadline of April 14, 2026?","[""□ 다음 조건을 모두 만족하는 사람 ※ 신청시 기준\n ㅇ (주소) ’24.1.1. 이후 서울시로 전입 또는 서울시 내에서 이사 후 \n신청 마감시 (’26.4.14.) 까지 전입신고 완료한 청년 가구\n   - 동거인(부모, 배우자, 형제‧자매 등) 있어도 신청 가능\n   - 세대주 및 임대차계약서의 임차인은 신청자 본인이어야 하며, \n임차건물 소재지에 주민등록이 등재되어 있어야 함\n     ※ 외국인 , 재외국민 등은 지원대상 아님\n ㅇ (연령) 만 19~39 세로 1986.1.1.~2007.12.31. 출생 청년\n ㅇ (소득) 가구당 기준 중위소득 150% 이하\n   - 신청인이 속한 가구의 건강보험료 고지금액('26년 3월분)이 '26년 건강보험료 \n소득판정 기준표상 기준 중위소득 150%의 건강보험료 본인부담금 이하여야 함\n     ※ 신청인의 건강보험이 피부양자 (건강보험 상 부모 등의 세대원으로 등록)인 \n경우 주민등록이 별도 분리되어 있어도 부양자 고지금액 기준""]","To be eligible for housing support by the deadline of April 14, 2026, applicants must meet the following criteria: They must have moved to Seoul or changed their address within Seoul after January 1, 2024, and completed their residency registration by the application deadline. They can apply even if they have cohabitants such as parents, spouses, or siblings. The applicant must be the head of the household and the tenant listed on the lease agreement, with their residency registered at the location of the rental property. Foreigners and overseas citizens are not eligible. Additionally, applicants must be aged between 19 and 39, born between January 1, 1986, and December 31, 2007, and their household income must be at or below 150% of the median income. The health insurance premium amount for the household as of March 2026 must not exceed the specified health insurance premium for 150% of the median income.",Youth Housing Support Coordinator,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
What are the restrictions for applicants receiving support from 市 in Seoul?,"['- 3 - ㅇ (재산) 신청자 본인 무주택자\n     ※ 주택뿐만 아니라 분양권 또는 조합원 입주권 , 공유지분 포함\n     ※ 주택 청약 시 적용되는 “주택소유여부 판단기준 ”과 관계없이 소유권 확인 시 선정 불가\n(단, 전세사기피해자가 피해 주택2)을 경·공매로 낙찰한 경우 등은 예외)\n ㅇ (주택) 거래금액 2억원 이하 전‧월세 거주  ※ 공인중개사법 시행규칙 참고\n     ※ 거래금액 = 임차보증금 + (월세액 × 100)\n참여 제한 대상\n ‣ ’22.1.1. 이후 서울시로 전입 또는 서울시 내에서 이사 후\n市 혹은 타 기관(중앙부처 , 자치구 등)에서 부동산 중개보수 및 이사비 지원받은 사람\n < 중복수혜 불가 사업 >\n  - (국토교통부 ) 주거취약계층 주거상향 지원사업의 일환으로 이주비 (이사비 또는 \n생필품비 )를 지원받은 경우\n  - (市 자치구 ) 부동산 중개보수 또는 이사비를 지원받은 경우']","Applicants who have moved to Seoul or relocated within Seoul after January 1, 2022, and have received support for real estate brokerage fees or moving expenses from 市 or other institutions (such as central ministries or autonomous districts) are restricted from receiving additional benefits.",Youth Housing Support Coordinator,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What support can young adults get from SH for moving costs?,"['- (市 자치구 ) 부동산 중개보수 또는 이사비를 지원받은 경우\n  - (LH, SH) LH 전세임대주택 등 부동산 중개보수 또는 이사비를 지원받은 경우\n  ※ 단, 타 기관에서 부동산 중개보수만 지원받은 경우 이사비에 한하여 최대 40만원 지원 \n가능 (반대도 동일)\n     (예시) 타 기관 중개보수 20만원 수혜자 → 市 이사비에 한하여 최대 40만원 한도 내 \n실비 지원 가능\n ‣ 부모 소유 주택에 임차하는 경우\n ‣ 국민기초생활수급자 중 생계·의료·주거급여 수급자\n ‣ 기타 사업 취지에 부합하지 않다고 판단되는 경우']","Young adults can get support for moving costs from SH if they have received real estate brokerage fees or moving expenses from LH or SH. If they only received brokerage fees from another institution, they can get a maximum of 400,000 won for moving expenses.",Young Adult Housing Advocate,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
What are the implications of the 금융소비자보호법 on 대출신청 for young residents in public rental housing in Seoul?,"['<1-hop>\n\n2) 금융질서문란정보, 공공기록정보, 특수기록정보\n3) 신용회복지원등록정보\n그 외, 부부에 대하여 대출취급기관 내규로 대출을 제한하고 있는 경우에는 대출 불가능\n8. (공공임대주택) 대출접수일 현재 공공임대주택에 입주하고 있는 경우 불가\n대출신청인 및 배우자가 퇴거하는 경우 대출가능(대출신청 물건지가 공공임대주택인 경우 취급 불가)\n신청시기\n임대차계약서상 잔금지급일과 주민등록등본상 전입일 중 빠른 날로부터 3개월이내까지 신청\n계약갱신의 경우에는 계약갱신일(월세에서 전세로 전환계약한 경우에는 전환일)로부터 3개월이내에 신청\n\xa0계약갱신은 기존 임대차계약 만기가 도래하여 체결한 계약을 원칙으로 함\n기금 전세자금 대출과 별도로 담보부 보증(HF , HUG 등)에 대해서도 보증 신청 기한 내 신청 완료해야 함\n\xa0신청 방법 : 기금e든든으로 비대면 신청한 경우 신청하신 수탁은행 영업점에 방문하여 신청, 수탁은행 대면\n신청의 경우 대출 신청시 보증 동시 신청\n\xa0□ 보증 신청 기한', '<2-hop>\n\n- 대출계약 철회는 채무자가 철회기한 이내에 원금과 이자 및 부대비용을 전액 반환한 때에 효력이 발생\n대출계약 철회권의 효력이 발생한 이후에는 철회권 행사 취소 불가\n유의사항\n대출 취급 후 주택취득이 확인된 경우에는 본 대출금을 상환하여야 함\n주택도시보증공사 보증서를 담보로 취급된 대출의 경우 추가대출 불가(전체 수탁은행)\n주택도시기금대출은 「금융소비자보호법」의 위법계약해지권 적용대상이 아님\n기금의 구입 또는 전월세자금대출 이용 중 주택도시기금 대출거래약정서를 위반하여 기한의 이익이 상실된\n이력이 있는 경우 이용 불가(다만, 신청일 현재 해당 기한이익상실일로부터 3년이 경과된 자는 가능)\n대출 취급 후 기금중복대출 여부를 위반한 경우에는 본 대출금을 상환하여야 함(점검 대상 :\xa0세대주 및 세대원\n전원, 결혼예정 배우자, 분리된 배우자 및 자녀, 배우자의 직계존속과 동거세대를 구성하는 경우 배우자의\n직계존속 포함)\n상담문의']","The 금융소비자보호법 does not apply to the 주택도시기금대출, meaning that the rights to cancel illegal contracts under this law do not protect those applying for loans. Additionally, if a loan is taken out and the housing acquisition is confirmed, the loan must be repaid. Young residents in public rental housing must also be aware that if they have violated the terms of their housing fund loan agreement, they may be ineligible for further loans.",,,,multi_hop_abstract_query_synthesizer
"대출계약 철회가 어떻게 효력이 발생하고, 금융소비자보호법과의 관계는 무엇인가요?","['<1-hop>\n\n- 대출계약 철회는 채무자가 철회기한 이내에 원금과 이자 및 부대비용을 전액 반환한 때에 효력이 발생\n대출계약 철회권의 효력이 발생한 이후에는 철회권 행사 취소 불가\n유의사항26. 4. 24. 오전  12:42 대출안내  < 청년전용  보증부월세대출  < 주택전세자금대출  < 개인상품  | 주택도시기금\nhttps://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020701.jsp 4/5', '<2-hop>\n\n- 대출계약 철회는 채무자가 철회기한 이내에 원금과 이자 및 부대비용을 전액 반환한 때에 효력이 발생\n대출계약 철회권의 효력이 발생한 이후에는 철회권 행사 취소 불가\n유의사항\n대출 취급 후 주택취득이 확인된 경우에는 본 대출금을 상환하여야 함\n주택도시보증공사 보증서를 담보로 취급된 대출의 경우 추가대출 불가(전체 수탁은행)\n주택도시기금대출은 「금융소비자보호법」의 위법계약해지권 적용대상이 아님\n기금의 구입 또는 전월세자금대출 이용 중 주택도시기금 대출거래약정서를 위반하여 기한의 이익이 상실된\n이력이 있는 경우 이용 불가(다만, 신청일 현재 해당 기한이익상실일로부터 3년이 경과된 자는 가능)\n대출 취급 후 기금중복대출 여부를 위반한 경우에는 본 대출금을 상환하여야 함(점검 대상 :\xa0세대주 및 세대원\n전원, 결혼예정 배우자, 분리된 배우자 및 자녀, 배우자의 직계존속과 동거세대를 구성하는 경우 배우자의\n직계존속 포함)\n상담문의']","대출계약 철회는 채무자가 철회기한 이내에 원금과 이자 및 부대비용을 전액 반환한 때에 효력이 발생합니다. 또한, 대출계약 철회권의 효력이 발생한 이후에는 철회권 행사 취소가 불가합니다. 그러나 주택도시기금대출은 금융소비자보호법의 위법계약해지권 적용대상이 아니며, 대출 취급 후 주택취득이 확인된 경우에는 본 대출금을 상환해야 합니다.",,,,multi_hop_abstract_query_synthesizer
육아휴직자에게 우대금리는 어떻게 적용되나요?,"['<1-hop>\n\n3. 육아휴직자 : 본인 또는 배우자가 육아휴직한 경우\n4. 부부합산 소득이 20%이상 감소한 경우\n5. 본인 또는 가족의질병, 상해 등으로 인해 의료비 지출규모가 부부합산 소득의 10%를 초과하는 경우\n\xa0 ※ 치료·요양 목적이 아닌 금액(미용, 성형수술비 및 한약 등 건강증진의약품)은 제외\n6. 「재난적의료비 지원에 관한 법률」에 따라 재난적의료비 지급 결정 통보서를 받은 경우\n7. 가족이 사망한 경우\n8. 본인 또는 가족이 장애인이 된 경우\n9. 본인 또는 가족 거주주택에 재난의 피해를 입은 경우\n10. 본인이 이혼한 경우\n11. 본인 또는 배우자가 출산한 경우\n\xa0 ※ 5~11은 신청일로부터 최근 1년 이내 해당 사유가 발생해야함\n부부합산 연소득 6천만원 이하(생애최초 주택구입자, 2자녀이상\n가구는 연소득 7천만원, 신혼가구는 연소득 8.5천만원 이하),\n순자산가액 5.11억원 이하 무주택 세대주\n연 2.85% ∼ 연 4.15%', '<2-hop>\n\n※ 우대금리 적용 후 최종금리가 연 1.0% 미만인 경우에는 연 1.0%로 적용\n※ 자산심사 부적격자의 경우 가산금리가 부과 자산심사 관련 자세한 사항은 기금포탈 [고객서비스]-\n[자산심사 및 금리안내]-[자산 심사 안내]를 참고( 바로가기 )\n※ 기존 청년전용 버팀목전세자금·중소기업취업청년 전월세보증금대출을 이용중인 경우는 갱신만료 임차인\n지원 대출 시 버팀목전세자금 금리(우대금리 미적용) 및 신청자격을 따름\n이용기간26. 4. 24. 오전  12:49 갱신만료  임차인  지원  < 버팀목전세자금  < 주택전세자금대출  < 개인상품  | 주택도시기금\nhttps://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020109.jsp 2/3']","육아휴직자에게는 부부합산 소득이 20% 이상 감소한 경우와 같은 특정 조건을 충족해야 우대금리가 적용됩니다. 또한, 최종금리가 연 1.0% 미만인 경우에는 연 1.0%로 적용되며, 자산심사 부적격자의 경우 가산금리가 부과됩니다.",,,,multi_hop_abstract_query_synthesizer
서울시 청년월세지원에 신청하기 위해 국가유공자 확인서가 필요한가요?,"['<1-hop>\n\n- 1 -2025년 서울시 청년월세지원 FAQ 목록\n단계 질문내용 페이지\n신청\n자격Q1. 연령(19~39 세)은 주민등록상 생일 기준인가요 ? \n출생연도 기준인가요 ?8\nQ2. 임대차계약서상 건물 소재지에 언제부터 주민등록이 \n되어 있어야 하나요 ?8\nQ3. 실제 거주는 서울, 주민등록은 경기도로 되어 \n있습니다 . 청년 월세 지원 받을 수 있나요 ?8\nQ4. 주민등록상 주소지는 서울인데 , 실 거주지는 타 \n시도입니다 . 청년 월세 지원 신청 가능한가요 ?8\nQ5. 주민등록 말소자입니다 . 신청이 가능한가요 ? 8\nQ6. 청년 1인 가구 기준은 무엇인가요 ? 9\nQ7. 본인 외의 다른 사람이 신청할 수 있나요 ? 9\nQ8. 외국인도 신청할 수 있나요 ? 9\nQ9. 다른 월세지원 사업을 중복으로 신청할 수 있나요 ? 9\nQ10. 한번 월세 지원을 받은 경우, 다음번에도 지원이 \n가능한가요 ?9\nQ11. 올해 신청 자격·요건을 충족하지 못해 탈락했는데 \n내년에 신청 할 수 있나요 ?9', '<2-hop>\n\n-국가유공자에 준하는 군경 등(유족 또는 가족) 확인서\n-5.18민주유공자 (유족 또는 가족) 확인서\n-특수임무유공자 (유족 또는 가족) 확인서\n-참전유공자 (국가유공자 ) 확인서\n-고엽제후유 (의)증환자 등 확인서\n청년안심주택\n피해 임차인-서울시에서 조회 및 확인(별도 제출서류 없음)\n청년부상제대군인-전·공상 심사결정서 , 국가유공자ㆍ보훈보상대상자 요건해당 통지서 , \n국가보훈등록증 중 1부']","서울시 청년월세지원에 신청하기 위해서는 국가유공자에 준하는 군경 등 확인서가 필요합니다. 이 확인서는 유족 또는 가족이 제출해야 하며, 청년부상제대군인의 경우 전·공상 심사결정서, 국가유공자ㆍ보훈보상대상자 요건해당 통지서, 국가보훈등록증 중 하나를 제출해야 합니다.",,,,multi_hop_abstract_query_synthesizer
등록임대주택의 임차인도 지원 받을 수 있나요? 그리고 어떻게 등록임대주택인지 알 수 있나요?,"['<1-hop>\n\n증, 계약해지 통보서류 (내용증명 등), 부동산 등기사항전부증명서 (舊등기부등\n본 1개월이내 발급분)\n □ 유형별 서류\n  ㅇ 임차주택에 임차권등기명령을 하는 경우 (아래 각 호 중 하나)\n  1. 임차주택에 대한 임차권등기명령 접수증 (임차주택 소재지 관할 지방법원)\n     ※ 임차권등기명령 접수증 제출 시 대출연장 신청일로부터 6개월이내 임차권등기명령이  등 재 된 \n부동산 등기사항전부증명서 (舊등기부등본)을 제 출 하 여 야  하 며  미 제 출  시  대 출 금 을  상환 하 여 야  함\n  2. 임차주택에 대한 임차권등기명령  법원결정문 사본\n   3. 임차권등기명령이 등재된 부동산 등기사항전부증명서 (舊등기부등본 )\n  ㅇ 임차주택에 경매/공매가 진행되는 경우 (아래 각 호 중 하나)\n  1. 경매/공매 개시 결정문 또는 경매/공매 통지서 \n   2. 압류 및 경매/공매개시결정 또는 공고가 기재된 부동산 등기사항전부증명서 (舊등기부등본 )', '<2-hop>\n\n-25-구분 답  변\n등록임대주택의 임차인도 \n지원을 받을 수 있나요 ?지원에 신청할 수 없습니다 .\n등록임대사업자는 임대보증금 반환보증 가입이 의무이며 , \n임차인이 임차보증금 반환보증을 가입하는 경우 임대인에게 \n보증료 청구를 할 수 있습니다 . \n「민간임대주택에 관한 \n특별법 」에 따른 등록임대\n주택의 임차인인지 어떻게 \n아나요 ?부동산 등기사항전부증명서 (舊등기부등본 ) 상 \n갑구의 등기목적 , 권리자 및 기타사항에 \n보면「민간임대주택에 관한 특별법 」에 따른 \n등록임대주택임이 표기되어 있습니다 .\n동일 주택에 대한 동일 가입 \n건을 국토교통부 , 자치구 \n등에서 시행하는 전세보증금 \n반환보증 보증료 지원사업에 \n중복 신청해도 되나요 ?국토교통부 , 자치구 등에서 시행하는 전세보증금 반환\n보증료 지원사업에 중복 지원은 불가하며 중복 수령 시\n「보조금 관리에 관한 법률」에 의거 환수됩니다 .']","등록임대주택의 임차인은 지원에 신청할 수 없습니다. 등록임대사업자는 임대보증금 반환보증 가입이 의무이며, 임차인이 임차보증금 반환보증을 가입하는 경우 임대인에게 보증료 청구를 할 수 있습니다. 등록임대주택인지 알기 위해서는 부동산 등기사항전부증명서에서 갑구의 등기목적, 권리자 및 기타사항을 확인하면 됩니다.",,,,multi_hop_specific_query_synthesizer
What documents are required to verify 사업소득 for housing assistance applications?,"['<1-hop>\n\n임금대장, 갑근세 원천징수 확인서, 일용근로소득지급명세서) 중 택1\n(사업소득) 세무서(홈텍스)발급 소득금액증명원 또는 ISA 가입용 소득확인증명서, 사업소득 원천징수영수증\n(연말정산용), 세무사가 확인한 전년도 과세표준확정신고 및 납부 계산서 중 택1\n(연금소득) 연금수급권자확인서 등 기타 연금수령을 확인할 수 있는 지급기관 증명서 (연금수령액이\n표기되지 않은 경우 연금수령 통장)\n(기타소득) 세무서(홈텍스)발급 소득금액증명원\n(무소득) 신고사실없음 사실증명원\n(소득 추정 시) 최근 2개년도 건강보험/국민연금 납부확인서자산심사(HUG)\n자산 정보 수집 후 심사3 자산심사 결과 정보 송신(HUG)\n대출 신청 시 기입한 신청자 휴대폰번호로 SMS\n결과 발송4\n서류제출 및 추가심사 진행(수탁은행/\n한국주택금융공사)\n한국주택금융공사 또는 은행 영업점에 필요\n서류 제출\n소득심사, 담보물심사5 한국주택금융공사 또는 은행 영업점에 필요 서류 제출\n대출가능 여부 및 대출한도 확인']","To verify 사업소득 for housing assistance applications, one must provide either a 소득금액증명원 issued by the tax office (홈텍스) or an income verification certificate for ISA enrollment, along with a 사업소득 원천징수영수증 for year-end tax settlement. Additionally, a tax return and payment calculation confirmed by a tax accountant from the previous year may also be required.",,,,multi_hop_specific_query_synthesizer
